Car_ID,manufacturer,fuel_type,co_emissions
96,BMW,LPG,348.31
97,Ford,E85,422.02
98,Audi,Petrol,345.76
99,Ford,E85,370.2
100,BMW,Petrol,316.74
101,Ford,LPG,323.05
102,Audi,E85,365.33
103,Volvo,LPG,310.26
104,Audi,Petrol,319.06
105,Audi,Petrol,335.29
106,Volvo,E85,425.77
107,Ford,E85,343.23
108,Volvo,E85,417.33
109,Ford,E85,222.35
110,Audi,Petrol,332.79
111,Ford,LPG,373.2
112,BMW,Petrol,419.08
113,Audi,E85,411.01
114,BMW,E85,273.53
115,Audi,E85,358.69
116,Ford,LPG,450.95
117,Volvo,LPG,446.72
118,BMW,Petrol,467.78
119,Audi,Petrol,374.86
120,Ford,Petrol,372.26
121,Ford,LPG,239.96
122,Volvo,Petrol,271.96
123,Volvo,LPG,356.73
124,BMW,Petrol,421.79
125,Volvo,LPG,333.05
126,Volvo,Petrol,369.46
127,Ford,Petrol,442.46
128,BMW,Petrol,468.66
129,Ford,LPG,238.33
130,Volvo,Petrol,356.15
131,Audi,LPG,447.37
132,BMW,Petrol,376.17
133,Audi,LPG,413.19
134,Ford,Petrol,316.36
135,Volvo,LPG,331.05
136,Volvo,LPG,286.16
137,Volvo,LPG,308.55
138,BMW,Petrol,419.28
139,Ford,Petrol,400.04
140,Ford,LPG,395.32
141,Ford,LPG,317.95
142,Volvo,E85,226.28
143,Audi,LPG,366.95
144,Volvo,Petrol,512.34
145,BMW,LPG,418.09
146,Audi,E85,254.81
147,Audi,E85,283.93
148,Audi,LPG,329.44
149,Audi,LPG,361.89
150,Volvo,E85,274.58
151,Audi,E85,318.33
152,Volvo,Petrol,329.87
153,BMW,LPG,291.39
154,Ford,Petrol,257.72
155,BMW,Petrol,447.57
156,Ford,Petrol,371.13
157,Ford,E85,398.53
158,Volvo,E85,424.78
159,BMW,LPG,499.27
160,Audi,LPG,356.58
161,Ford,Petrol,355.82
162,Volvo,Petrol,400.31
163,Audi,E85,204.76
164,Volvo,E85,409.4
165,Volvo,Petrol,370.71
166,Audi,LPG,347.97
167,Ford,Petrol,399.81
168,Volvo,Petrol,421.51
169,Audi,Petrol,298.1
170,Audi,LPG,445.16
171,Audi,LPG,346.18
172,Audi,E85,341.53
173,Volvo,Petrol,323.1
174,Audi,LPG,399.25
175,Ford,Petrol,457.05
176,Ford,Petrol,368.29
177,Ford,LPG,313.83
178,Ford,E85,254.48
179,Volvo,E85,305.7
180,Ford,Petrol,331.56
181,Ford,E85,341.58
182,Audi,E85,422.81
183,Ford,Petrol,271.36
184,Audi,LPG,416.71
185,BMW,E85,339.96
186,Ford,Petrol,415.55
187,Audi,E85,183.08
188,Volvo,LPG,288.41
189,Ford,Petrol,371.69
190,Volvo,E85,247.37
191,Ford,E85,282.35
192,Audi,E85,319.3
193,Audi,LPG,422.43
194,Audi,LPG,332.94
195,BMW,E85,360.51
196,Volvo,Petrol,471.47
197,Audi,E85,446.12
198,Audi,LPG,320.63
199,Audi,LPG,410.33
200,BMW,LPG,366.27
201,Ford,Petrol,295.99
202,Volvo,LPG,344.75
203,Audi,LPG,373.85
204,Ford,Petrol,364.09
205,Ford,Petrol,441.79
206,Audi,LPG,315.72
207,BMW,LPG,435.14
208,Ford,Petrol,425.76
209,Audi,E85,409.42
210,Ford,LPG,287.36
211,Volvo,Petrol,488.7
212,BMW,E85,382.79
213,Volvo,E85,297.1
214,Audi,E85,185.38
215,Ford,Petrol,366.46
216,Ford,Petrol,328.27
217,BMW,E85,337.29
218,Audi,LPG,335.87
219,BMW,E85,272.35
220,Audi,E85,372.6
221,Ford,Petrol,327.78
222,Audi,E85,368.24
223,Ford,E85,359.62
224,Audi,LPG,342.95
225,Ford,Petrol,350.35
226,Ford,Petrol,418.84
227,Ford,Petrol,482.73
228,BMW,E85,270.96
229,Audi,Petrol,260.61
230,Ford,LPG,473.71
231,Audi,E85,285.46
232,Audi,LPG,344.15
233,Ford,Petrol,288.5
234,Audi,LPG,287.18
235,Volvo,E85,329.28
236,Audi,LPG,337.93
237,Ford,E85,438.75
238,Ford,E85,405.5
239,BMW,E85,336.21
240,Ford,E85,235.72
241,Ford,E85,280.21
242,Volvo,E85,284.94
243,Audi,LPG,261.29
244,Ford,LPG,354.09
245,Ford,Petrol,350.7
246,Ford,LPG,364.17
247,Ford,Petrol,398.95
248,Volvo,LPG,369.23
249,Ford,Petrol,378.98
250,Volvo,LPG,292.97
251,Ford,Petrol,353.11
252,Ford,Petrol,351.66
253,Audi,Petrol,350.83
254,BMW,LPG,392.91
255,Ford,Petrol,307.2
256,Audi,E85,419.02
257,BMW,E85,235.41
258,BMW,LPG,307.52
259,BMW,E85,372.84
260,BMW,E85,377.54
261,Audi,E85,419.49
262,Ford,E85,432.82
263,Audi,E85,276.22
264,Audi,Petrol,430.3
265,Volvo,LPG,309.42
266,Audi,E85,362.57
267,Ford,LPG,289.39
268,Ford,LPG,416.08
269,BMW,LPG,292.81
270,BMW,LPG,359.5
271,Ford,E85,381.08
272,BMW,E85,332.74
273,Volvo,E85,335.77
274,Audi,E85,283.67
275,Audi,E85,324.5
276,Audi,E85,302.26
277,Volvo,LPG,308.93
278,Audi,LPG,390.23
279,Audi,E85,365.83
280,Ford,Petrol,387.61
281,Audi,E85,369.82
282,Ford,LPG,463.62
283,Ford,LPG,440.33
284,Volvo,LPG,329.64
285,Volvo,E85,449.98
286,Audi,LPG,293.03
287,Audi,Petrol,359.01
288,Ford,LPG,307.9
289,Volvo,Petrol,261.52
290,Volvo,Petrol,357.01
291,Ford,E85,453.62
292,Ford,E85,276.15
293,Ford,E85,327.92
294,BMW,Petrol,411.44
295,Ford,LPG,272.73
296,Volvo,E85,433.83
297,Audi,Petrol,395.41
298,Audi,E85,333.18
299,Volvo,LPG,527.9
300,Volvo,E85,330.6
301,Audi,E85,401.24
302,Volvo,E85,434.96
303,Ford,LPG,530.87
304,Audi,Petrol,354.11
305,Ford,LPG,320.08
306,Audi,LPG,360.38
307,Volvo,LPG,245.55
308,Audi,Petrol,298.46
309,Volvo,Petrol,322.12
310,Audi,Petrol,353.94
311,Audi,Petrol,421.43
312,BMW,LPG,465.32
313,BMW,Petrol,499.8
314,Volvo,LPG,271.64
315,BMW,LPG,256.2
316,BMW,E85,311.64
317,BMW,Petrol,317.83
318,Audi,Petrol,392.43
319,Audi,Petrol,369.68
320,BMW,Petrol,384.53
321,Ford,E85,312.31
322,Audi,Petrol,300.39
323,Volvo,Petrol,367.46
324,Ford,E85,311.32
325,Audi,Petrol,411.52
326,BMW,Petrol,422.9
327,BMW,Petrol,361.98
328,Volvo,Petrol,287.02
329,BMW,Petrol,493.83
330,Audi,E85,438.65
331,Volvo,Petrol,341.82
332,Audi,E85,162.07
333,Ford,LPG,430.1
334,Ford,LPG,396.9
335,Audi,LPG,319.85
336,Ford,Petrol,350.4
337,BMW,LPG,301.89
338,Audi,LPG,386.52
339,Ford,LPG,448.44
340,Ford,Petrol,353.46
341,Audi,Petrol,319.14
342,Ford,E85,385.02
343,Volvo,LPG,410.68
344,Volvo,E85,285.89
345,Volvo,Petrol,330.67
346,Audi,LPG,360.9
347,BMW,LPG,313.82
348,BMW,Petrol,497.96
349,Audi,Petrol,364.82
350,BMW,Petrol,411.06
351,BMW,LPG,361.01
352,Ford,E85,356.23
353,Audi,Petrol,364.99
354,Ford,E85,374.93
355,BMW,Petrol,359.17
356,Ford,LPG,249.41
357,Audi,Petrol,420.97
358,Volvo,LPG,417.86
359,Volvo,Petrol,430.84
360,Audi,Petrol,314.09
361,Volvo,LPG,289.5
362,Ford,LPG,294.38
363,Volvo,E85,338.16
364,Ford,E85,385.44
365,Audi,Petrol,312.37
366,Ford,LPG,419.51
367,BMW,Petrol,350.38
368,Audi,LPG,311.76
369,BMW,LPG,459.82
370,BMW,Petrol,449.46
371,Ford,LPG,401.87
372,Volvo,LPG,395.33
373,BMW,Petrol,357.48
374,Audi,Petrol,368.97
375,Audi,Petrol,446.64
376,BMW,LPG,475.23
377,Volvo,LPG,327.4
378,Volvo,LPG,295.9
379,BMW,Petrol,383.99
380,Volvo,LPG,317.5
381,Volvo,Petrol,369.03
382,Ford,Petrol,535.54
383,Volvo,E85,204.11
384,Volvo,LPG,305.3
385,Volvo,Petrol,344.43
386,Volvo,LPG,432.9
387,BMW,E85,236.21
388,Audi,LPG,260.63
389,Audi,Petrol,347.71
390,BMW,LPG,355.74
391,Ford,E85,223.47
392,Volvo,Petrol,320.96
393,BMW,E85,328.92
394,BMW,LPG,290.8
395,Ford,LPG,426.7
396,Ford,LPG,430.44
397,Volvo,Petrol,371.99
398,Volvo,LPG,321.63
399,Volvo,E85,424.86
400,BMW,LPG,462.36
401,Audi,E85,341.29
402,Ford,E85,334.25
403,Volvo,E85,424.84
404,Volvo,LPG,280.46
405,Volvo,E85,284.09
406,Volvo,E85,427.18
407,Volvo,Petrol,367.68
408,BMW,E85,382.86
409,Audi,Petrol,361.55
410,Volvo,Petrol,297.08
411,Volvo,Petrol,230.27
412,Ford,E85,410.89
413,Volvo,E85,398.34
414,BMW,LPG,372.47
415,Volvo,LPG,328.14
416,Audi,Petrol,396.62
417,Volvo,Petrol,340.28
418,Audi,E85,363.38
419,Volvo,E85,250.5
420,Volvo,E85,276.65
421,Volvo,LPG,311.28
422,BMW,Petrol,318.26
423,Volvo,Petrol,416.84
424,BMW,E85,301.6
425,Volvo,LPG,345.54
426,Volvo,LPG,314.62
427,Audi,E85,339.63
428,Volvo,Petrol,356.46
429,Volvo,LPG,413.86
430,Ford,Petrol,292.24
431,BMW,Petrol,454.32
432,Ford,LPG,417.43
433,BMW,Petrol,391.59
434,Audi,E85,411.52
435,BMW,LPG,289.69
436,Volvo,E85,305.01
437,Audi,E85,352.06
438,Audi,LPG,317.87
439,Volvo,LPG,333.61
440,BMW,LPG,509.6
441,BMW,Petrol,449.69
442,BMW,LPG,420.76
443,Volvo,Petrol,303.29
444,BMW,Petrol,427.27
445,BMW,LPG,437.39
446,Ford,LPG,430.89
447,Volvo,E85,413.87
448,Audi,LPG,431.66
449,Audi,LPG,387.61
450,BMW,E85,414.09
451,Volvo,LPG,436.29
452,BMW,Petrol,521.74
453,Volvo,LPG,262.39
454,Audi,LPG,347.75
455,BMW,LPG,388.2
456,BMW,Petrol,394.88
457,Audi,E85,424.84
458,Audi,LPG,333.67
459,Audi,Petrol,362.67
460,Audi,Petrol,326.61
461,BMW,Petrol,530.85
462,Audi,LPG,337.38
463,Volvo,Petrol,303.59
464,Audi,E85,223.6
465,Ford,LPG,393.39
466,Volvo,E85,425.52
467,BMW,E85,417.64
468,Volvo,E85,401.46
469,BMW,LPG,396.09
470,Ford,Petrol,357.78
471,BMW,Petrol,442.37
472,BMW,E85,397.5
473,Audi,LPG,413.81
474,BMW,E85,307.1
475,Volvo,E85,305.11
476,Audi,Petrol,351.31
477,Audi,E85,280.18
478,Ford,E85,360.52
479,Audi,Petrol,462.73
480,Audi,Petrol,351.62
481,BMW,Petrol,392.73
482,Audi,Petrol,348.8
483,BMW,E85,419.84
484,Volvo,Petrol,385.78
485,Volvo,Petrol,265.87
486,BMW,LPG,340.76
487,Audi,LPG,443.08
488,Ford,Petrol,491.71
489,Audi,LPG,316.9
490,Volvo,E85,421.05
491,Ford,E85,245.2
492,BMW,Petrol,361.51
493,Ford,E85,457.27
494,BMW,E85,271.9
495,Ford,E85,335.67
496,Ford,E85,386.6
497,BMW,LPG,336.23
498,Ford,LPG,432.85
499,Ford,Petrol,468.15
500,Ford,LPG,307.49
501,Ford,LPG,410.54
502,Audi,Petrol,487.88
503,Volvo,LPG,385.41
504,Audi,Petrol,420.66
505,Volvo,LPG,293.98
506,Ford,Petrol,348.62
507,BMW,Petrol,348.42
508,Volvo,Petrol,330.01
509,BMW,LPG,316.83
510,Ford,LPG,300.54
